"GrLivArea","SalePrice"
"1710","208500"
"1786","223500"
"2198","250000"
"1694","307000"
"1774","129900"
"1040","345000"
"912","279500"
"1253","157000"
"1004","149000"
"1114","159000"
"2376","325300"
"1795","230000"
"1600","256300"
"1704","306000"
"1317","149350"
"1234","179900"
"1561","309000"
"1097","153000"
"1057","109000"
"1324","170000"
"884","144000"
"1150","319900"
"2149","249700"
"1452","127000"
"1470","177000"
"816","385000"
"1360","180500"
"1739","196500"
"2945","438780"
"1158","158000"
"1370","219500"
"2473","317000"
"1479","226000"
"2287","244000"
"845","185000"
"1086","144900"
"988","135750"
"1285","136500"
"1230","193500"
"1337","245000"
"1065","168500"
"2417","260000"
"1224","164500"
"990","123600"
"964","163500"
"1588","214000"
"835","128950"
"1610","205000"
"1535","198900"
"1818","250000"
"1047","115000"
"1517","190000"
"1855","180000"
"2696","383970"
"2320","259500"
"1092","155000"
"3222","320000"
"1123","136000"
"1199","181000"
"754","128000"
"840","155000"
"1053","226000"
"2054","244000"
"1721","180000"
"1214","171000"
"1852","231500"
"864","260000"
"1385","204000"
"1728","130000"
"875","222500"
"1344","122000"
"1993","235000"
"1200","125000"
"1968","269500"
"2462","320000"
"2668","412500"
"882","152000"
"1355","190000"
"2161","325624"
"1382","239000"
"1651","243000"
"2060","211000"
"2234","501837"
"1525","200100"
"1340","200000"
"3608","475000"
"1593","315000"
"1431","311872"
"3112","235000"
"1713","274900"
"1279","171500"
"848","149000"
"1442","180500"
"1100","277000"
"1212","186000"
"1236","210000"
"1954","311500"
"1498","204900"
"1552","386250"
"1302","290000"
"987","192500"
"1194","403000"
"894","216500"
"1414","194500"
"1487","262500"
"866","110500"
"2110","241500"
"1928","140000"
"1668","277000"
"1306","235000"
"1640","173000"
"1604","231500"
"2574","276000"
"764","175500"
"1511","185000"
"778","148000"
"1939","266000"
"2270","290000"
"1548","415298"
"2022","228500"
"1468","244600"
"1250","164700"
"1396","233230"
"1716","235000"
"1644","167000"
"1558","239000"
"1743","175000"
"3493","305900"
"2243","225000"
"861","360000"
"972","132000"
"2036","375000"
"1432","260000"
"2646","260000"
"2596","354000"
"2730","301000"
"2978","242000"
"1719","324000"
"2134","214500"
"1056","284000"
"1358","207000"
"1922","377426"
"1621","202500"
"1908","202900"
"1684","266000"
"1577","157500"
"1626","437154"
"1869","318061"
"720","140000"
"1167","173000"
"1352","280000"
"1505","190000"
"1394","159000"
"1287","172400"
"752","125000"
"904","148000"
"2466","394432"
"1800","179000"
"1301","213500"
"784","240000"
"1269","192000"
"2332","426000"
"1961","215000"
"1034","129000"
"1812","241000"
"1288","245500"
"1572","168000"
"1639","177000"
"2172","339750"
"1276","115000"
"2097","228000"
"2624","239000"
"1602","315000"
"1196","139000"
"907","195400"
"1412","175000"
"1365","122500"
"1661","212000"
"2402","555000"
"1258","172500"
"1888","199900"
"1376","120000"
"813","280000"
"1756","210000"
"1242","256000"
"1666","161000"
"1935","263435"
"1660","188700"
"1634","250000"
"1969","190000"
"1976","440000"
"970","208900"
"2643","380000"
"1850","326000"
"1216","164000"
"1073","175000"
"2414","160000"
"1578","133000"
"3228","430000"
"899","130000"
"1801","289000"
"1911","215000"
"1041","202665"
"2020","402861"
"2344","265000"
"2080","234000"
"1244","184750"
"2398","315750"
"928","446261"
"605","200624"
"1509","175000"
"334","107500"
"1724","188000"
"1601","315000"
"2285","248000"
"1496","229000"
"1635","210000"
"825","263000"
"1069","140000"
"2046","284000"
"1446","234000"
"996","185000"
"2295","268000"
"2504","325000"
"943","224500"
"1109","145000"
"1320","181900"
"2042","325000"
"2028","369900"
"860","143000"
"935","185900"
"2296","451950"
"1402","194201"
"1904","275000"
"1986","225000"
"3194","359100"
"2153","313000"
"1120","147000"
"832","314813"
"2262","305000"
"980","168500"
"1790","165150"
"1520","168500"
"1750","209500"
"1411","200000"
"800","93000"
"796","264561"
"1518","274000"
"2704","370878"
"981","155000"
"1839","205950"
"1510","135000"
"2113","350000"
"2448","402000"
"1936","230500"
"1679","193500"
"1180","173500"
"1369","140000"
"1441","148500"
"923","173000"
"1761","227875"
"1419","755000"
"2519","335000"
"1137","176000"
"1148","196000"
"1164","361919"
"1824","302000"
"1178","159500"
"2418","341000"
"1742","320000"
"1776","187500"
"2031","222500"
"1349","179000"
"2715","299800"
"2640","265979"
"1140","275500"
"1026","172500"
"1386","290000"
"1547","337000"
"1506","264132"
"1836","538000"
"1220","107000"
"1973","395000"
"1614","221500"
"1110","165500"
"2084","233000"
"2087","187500"
"1062","269790"
"1895","194500"
"773","485000"
"1688","582933"
"1128","227680"
"1576","223500"
"1309","181000"
"1008","155000"
"936","225000"
"1489","189000"
"2126","185000"
"1829","237000"
"1067","153500"
"1099","144000"
"1165","174900"
"1701","213000"
"2358","240000"
"1445","170000"
"1481","250000"
"1426","189950"
"1372","250580"
"1949","236000"
"2610","350000"
"1155","157000"
"2230","118500"
"1712","145000"
"2217","268000"
"1068","154500"
"2240","611657"
"1670","240000"
"1063","255000"
"2057","250000"
"1015","145000"
"480","135000"
"2127","238000"
"1617","207500"
"2374","285000"
"1788","236500"
"1466","201000"
"1905","320000"
"2069","253000"
"1962","244400"
"1381","197500"
"1958","272000"
"1894","214900"
"1098","140000"
"918","167500"
"869","199900"
"2612","336000"
"1940","395192"
"1851","187000"
"944","86000"
"1504","181000"
"1657","163500"
"1271","135000"
"1082","176000"
"2898","287000"
"3082","230000"
"954","155000"
"2329","278000"
"2868","556581"
"930","165000"
"1989","255000"
"1364","335000"
"1991","220000"
"2337","110500"
"1154","328000"
"1571","178000"
"2521","151400"
"1240","219500"
"1459","192000"
"1247","197000"
"438","119500"
"2622","325000"
"1690","188000"
"1964","205000"
"1012","118400"
"1005","259000"
"1981","135000"
"2210","117500"
"1020","197500"
"2828","424870"
"1298","180000"
"1811","230000"
"1580","235128"
"1671","235000"
"3627","625000"
"3086","239000"
"1343","154900"
"2514","745000"
"1130","120000"
"1699","262000"
"1804","189000"
"1863","219210"
"1074","271900"
"1283","189000"
"1902","134000"
"1846","143000"
"1490","184000"
"1933","367294"
"1507","190000"
"1190","142000"
"1784","195000"
"1141","170000"
"2076","465000"
"2058","171750"
"874","294000"
"1987","301500"
"1675","181000"
"2018","381000"
"1524","177000"
"1395","169000"
"1659","281000"
"2372","160000"
"1246","225000"
"2526","290000"
"1122","203000"
"2810","333168"
"2112","275000"
"1923","190000"
"774","256000"
"1334","167900"
"1861","200000"
"2169","228500"
"2156","262500"
"3238","410000"
"1078","315000"
"2601","189000"
"1475","127000"
"2633","466500"
"2117","237500"
"2784","377500"
"1584","163000"
"2482","281213"
"1513","137500"
"2093","230000"
"1848","207000"
"2450","340000"
"804","174000"
"1932","394617"
"2555","310000"
"913","129000"
"2073","266500"
